"ID","square_meters","bathrooms_number","lift","rooms_number","other_features","total_floors_in_building","car_parking","availability","condominium_fees","year_of_construction","conditions","zone","floor","heating_centralized","energy_efficiency_class","selling_price"
143,95,"1","yes","3","electric gate | optic fiber | security door | terrace | half-day concierge | centralized tv system | cellar | window frames in double glass / metal | double exposure","5","no","available","3500",1950,"excellent / refurbished","borgogna - largo augusto","2","central","e",1180000
144,93,"2","yes","3","balcony | terrace | single tv system | cellar","2","1 in garage/box","available","No condominium fees",NA,"new / under construction","quinto romano","2","independent","a",310000
145,136,"2","yes","3","electric gate | optic fiber | video entryphone | security door | external exposure | balcony | terrace | full day concierge | centralized tv system | window frames in double glass / pvc","6","no","available from 31/12/2024","400",1960,"good condition / liveable","cenisio","4","central","g",1040000
146,80,"1","no","3","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | closet | balcony | terrace | tv system with satellite dish | window frames in double glass / metal","4","no","available","1",1970,"excellent / refurbished","precotto","3","central","d",390000
147,100,"1","yes","3","attic | optic fiber | video entryphone | closet | balcony | centralized tv system | partially furnished | cellar | window frames in glass / wood | double exposure","8","no","available","280",1960,"to be refurbished","ghisolfa - mac mahon","8","central","e",395000
148,55,"1","no","2","electric gate | tavern | optic fiber | video entryphone | alarm system | security door | closet | centralized tv system | furnished | cellar | window frames in double glass / metal | double exposure","5","no","available","100",1960,"excellent / refurbished","città studi","1","independent","e",240000
149,130,"2","yes","4","electric gate | fireplace | optic fiber | video entryphone | alarm system | security door | closet | terrace | half-day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in glass / metal | double exposure","14","no","available","290",1976,"excellent / refurbished","niguarda","1","central","f",475000
150,125,"2","no","2","electric gate | optic fiber | video entryphone | security door | terrace | centralized tv system | partially furnished | window frames in double glass / metal | double exposure","2","1 in garage/box",NA,"42",NA,"excellent / refurbished","viale ungheria - mecenate","ground floor","independent","c",525000
151,70,"1","yes","3","electric gate | video entryphone | security door | terrace | full day concierge | single tv system | cellar | window frames in double glass / pvcdouble exposure","5","1 in shared parking","available","115",1960,"excellent / refurbished","san siro","1","central","e",299000
152,76,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in triple glass / pvc","5","1 in garage/box","available","No condominium fees",2023,"new / under construction","gorla","1","central","a",395000
153,130,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | terrace | centralized tv system | partially furnished | cellar | window frames in double glass / wood","6","1 in garage/box","available","200",2019,"excellent / refurbished","villa san giovanni","4","central","a",655000
154,46,"1","no","1","security door | external exposure | centralized tv system | window frames in double glass / metal","2","no","available","50",1970,"excellent / refurbished","vigentino - fatima","ground floor","independent","f",220000
155,85,"2","yes","4","electric gate | optic fiber | video entryphone | security door | external exposure | closet | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc","8","no","available","100",1965,"excellent / refurbished","cascina dei pomi","ground floor","central","g",420000
156,62,"1","no","2","electric gate | optic fiber | video entryphone | security door | single tv system | shared garden | window frames in double glass / wood | double exposure","1 floor","no",NA,"42",2023,"new / under construction","bovisasca","ground floor","independent","a",185000
157,120,"2","yes","4","balcony | centralized tv system | cellar","7","1 in garage/box","available","292",1965,"to be refurbished","primaticcio","4","central","d",475000
158,96,"2","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal","5","no","available",NA,2023,"new / under construction","crescenzago","1","central","a",485000
159,205,"3","yes","5","optic fiber | video entryphone | security door | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood | double exposure","8","no","available","830",NA,"excellent / refurbished","pagano","1","central","g",1445000
160,86,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | balcony | full day concierge | centralized tv system | shared garden | window frames in glass / wood","8","no","available",NA,1968,"to be refurbished","bologna - sulmona","2","central","e",268200
161,92,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | terrace | centralized tv system | cellar | window frames in triple glass / pvc","4","no","available",NA,2027,"new / under construction","cascina merlata - musocco","2","central","a",365800
162,90,"1","yes","3","reception | kitchen | shared garden | window frames in glass / wood | exposure south, east","6","no","available","100",1970,"to be refurbished","via fra' cristoforo","mezzanine","central",NA,270000
163,55,"1","yes","2","electric gate | optic fiber | security door | internal exposure | centralized tv system | furnished | shared garden | window frames in double glass / wood","4","no","available","200",1968,"good condition / liveable","san siro","mezzanine","central","g",320000
